index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-06db6818-1180-38a8-66b1-13f5451b3202,580.126.09,NVIDIA GeForce RTX 3090,[N/A],Disabled,[Requested functionality has been deprecated]

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,24576,18,24074,2026/06/13 09:26:59.363
0,0,24576,21093,2998,2026/06/13 09:27:04.394
0,96,24576,21157,2934,2026/06/13 09:27:09.427
0,52,24576,21157,2934,2026/06/13 09:27:14.462
0,97,24576,21157,2934,2026/06/13 09:27:19.496
0,99,24576,21159,2932,2026/06/13 09:27:24.529
0,97,24576,21159,2932,2026/06/13 09:27:29.564
0,98,24576,21159,2932,2026/06/13 09:27:34.597
0,97,24576,21159,2932,2026/06/13 09:27:39.632
0,98,24576,21159,2932,2026/06/13 09:27:44.666
0,99,24576,21159,2932,2026/06/13 09:27:49.696
0,0,24576,21159,2932,2026/06/13 09:27:54.729
0,6,24576,21159,2932,2026/06/13 09:27:59.760
0,97,24576,21159,2932,2026/06/13 09:28:04.793
0,97,24576,21159,2932,2026/06/13 09:28:09.825
0,97,24576,21159,2932,2026/06/13 09:28:14.856
0,0,24576,21159,2932,2026/06/13 09:28:19.890
0,96,24576,21159,2932,2026/06/13 09:28:24.922
0,94,24576,21159,2932,2026/06/13 09:28:29.954
0,0,24576,21159,2932,2026/06/13 09:28:34.988
0,97,24576,21159,2932,2026/06/13 09:28:40.019
0,98,24576,21159,2932,2026/06/13 09:28:45.055
0,99,24576,21159,2932,2026/06/13 09:28:50.085
0,0,24576,21159,2932,2026/06/13 09:28:55.116
0,0,24576,21159,2932,2026/06/13 09:29:00.149
0,96,24576,21159,2932,2026/06/13 09:29:05.185
0,0,24576,21159,2932,2026/06/13 09:29:10.217
0,64,24576,21159,2932,2026/06/13 09:29:15.252
0,97,24576,21159,2932,2026/06/13 09:29:20.285
0,98,24576,21159,2932,2026/06/13 09:29:25.318
0,96,24576,21159,2932,2026/06/13 09:29:30.354
0,99,24576,21159,2932,2026/06/13 09:29:35.391
0,98,24576,21159,2932,2026/06/13 09:29:40.425
0,96,24576,21159,2932,2026/06/13 09:29:45.458
0,0,24576,21159,2932,2026/06/13 09:29:50.491
0,0,24576,21159,2932,2026/06/13 09:29:55.522
0,0,24576,21159,2932,2026/06/13 09:30:00.554
0,94,24576,21159,2932,2026/06/13 09:30:05.585
0,98,24576,21159,2932,2026/06/13 09:30:10.618
0,98,24576,21159,2932,2026/06/13 09:30:15.653
0,15,24576,21159,2932,2026/06/13 09:30:20.691
0,99,24576,21159,2932,2026/06/13 09:30:25.723
0,98,24576,21159,2932,2026/06/13 09:30:30.756
0,90,24576,21159,2932,2026/06/13 09:30:35.791
0,99,24576,21159,2932,2026/06/13 09:30:40.824
0,0,24576,21159,2932,2026/06/13 09:30:45.857
0,0,24576,21159,2932,2026/06/13 09:30:50.895
0,0,24576,21159,2932,2026/06/13 09:30:55.929
0,0,24576,21159,2932,2026/06/13 09:31:00.964
0,97,24576,21159,2932,2026/06/13 09:31:05.998
0,0,24576,21159,2932,2026/06/13 09:31:11.034
0,97,24576,21159,2932,2026/06/13 09:31:16.068
0,98,24576,21159,2932,2026/06/13 09:31:21.103
0,97,24576,21159,2932,2026/06/13 09:31:26.139
0,99,24576,21159,2932,2026/06/13 09:31:31.172
0,97,24576,21159,2932,2026/06/13 09:31:36.207
0,98,24576,21159,2932,2026/06/13 09:31:41.242
0,0,24576,21159,2932,2026/06/13 09:31:46.273
0,2,24576,21159,2932,2026/06/13 09:31:51.305
0,0,24576,21159,2932,2026/06/13 09:31:56.338
0,96,24576,21159,2932,2026/06/13 09:32:01.369
0,99,24576,21159,2932,2026/06/13 09:32:06.405
0,98,24576,21159,2932,2026/06/13 09:32:11.444
0,98,24576,21159,2932,2026/06/13 09:32:16.477
0,98,24576,21159,2932,2026/06/13 09:32:21.509
0,78,24576,21159,2932,2026/06/13 09:32:26.541
0,92,24576,21159,2932,2026/06/13 09:32:31.574
0,98,24576,21159,2932,2026/06/13 09:32:36.607
0,98,24576,21159,2932,2026/06/13 09:32:41.641
0,97,24576,21159,2932,2026/06/13 09:32:46.674
0,6,24576,21159,2932,2026/06/13 09:32:51.707
0,0,24576,21159,2932,2026/06/13 09:32:56.740
0,99,24576,21159,2932,2026/06/13 09:33:01.774
